Into the Wild;John Krakauer;2007
The Road;Cormac McCarthy;2006
A Thousand Splendid Suns;Khaled Hosseini;2007
The Midnight Library;Matt Haig;2020
Blindsight;Peter Watts;2006
All the Light We Cannot See;Anthony Doerr;2014
Into Thin Air;Jon Krakauer;1997
The Diary of a Young Girl;Anne Frank;1947
Sea of Tranquility;Emily St. John Mandel;2022
Recursion;Blake Crouch;2019
The Ballad of Songbirds and Snakes;Suzanne Collins;2020
The Covenant of Water;Abraham Verghese;2023
Unmasking Autism;Devon Price;2022
Again to Carthage;John L. Parker Jr.;2008
The Kite Runner;Khaled Hosseini;2003
Revelation Space;Alastair Reynolds;2000
The Wild Shore;Kim Stanley Robinson;1984
The Gold Coast;Kim Stanley Robinson;1988
Pacific Edge;Kim Stanley Robinson;1990
The Bell Jar;Sylvia Plath;1963
Sapiens;Yuval Noah Harari;2011
Hyperion;Dan Simmons;1989
Parable of the Sower;Octavia E. Butler;1993
Leviathan Wakes;James S.A. Corey;2011
Eduated;Tara Westover;2018
